character	value_extended	raw_value	window_freq
建	0.398602	0.019778	370
称	0.398119	0.019749	857
史	0.396973	0.019678	608
申	0.396296	0.019637	166
贵	0.395995	0.019618	1343
适	0.395869	0.019610	502
驰	0.395570	0.019592	514
舆	0.395456	0.019585	333
逸	0.395371	0.019580	496
印	0.394775	0.019543	456
辰	0.393041	0.019437	470
九	0.392331	0.019393	2394
掇	0.392031	0.019375	75
濯	0.391771	0.019359	238
既	0.390590	0.019286	860
豫	0.390450	0.019278	131
位	0.389185	0.019200	363
布	0.388758	0.019174	489
亩	0.388662	0.019168	178
邦	0.388485	0.019157	194
宗	0.388437	0.019154	506
佐	0.388017	0.019129	281
美	0.387583	0.019102	1035
沽	0.387570	0.019101	156
爰	0.387540	0.019099	69
眺	0.387377	0.019089	165
祗	0.387316	0.019086	57
黍	0.387112	0.019073	224
珂	0.386684	0.019047	107
祷	0.386487	0.019035	58
品	0.386470	0.019034	163
耸	0.386162	0.019015	185
鹏	0.386032	0.019007	154
苞	0.386000	0.019005	71
伫	0.385528	0.018976	246
禁	0.385459	0.018972	726
麹	0.385225	0.018957	59
忝	0.385114	0.018950	224
通	0.384176	0.018893	1965
抟	0.383996	0.018882	59
瞻	0.383740	0.018866	316
绅	0.382817	0.018809	59
助	0.382733	0.018804	279
霞	0.381752	0.018744	1633
温	0.381053	0.018701	266
菲	0.380581	0.018672	234
设	0.380302	0.018655	167
谬	0.380028	0.018638	143
服	0.379978	0.018635	572
夸	0.379051	0.018578	347
鞭	0.378573	0.018549	499
稼	0.378224	0.018528	123
则	0.378182	0.018525	241
昆	0.377751	0.018499	309
探	0.377719	0.018497	254
铅	0.377541	0.018486	153
浮	0.377146	0.018461	1970
按	0.377057	0.018456	141
署	0.376482	0.018421	237
纪	0.374964	0.018328	199
榼	0.374583	0.018304	59
藉	0.374519	0.018300	228
灵	0.373492	0.018237	1774
彦	0.373015	0.018208	81
检	0.372247	0.018161	118
接	0.372029	0.018147	1029
峻	0.371835	0.018136	160
齐	0.371807	0.018134	974
兆	0.371695	0.018127	116
莱	0.371340	0.018105	327
街	0.371320	0.018104	273
用	0.371243	0.018099	1296
注	0.371034	0.018086	200
喜	0.370933	0.018080	1230
饵	0.369949	0.018020	133
清	0.369384	0.017985	7222
宾	0.369116	0.017969	653
筵	0.367966	0.017898	721
旬	0.367332	0.017859	212
钦	0.367319	0.017858	72
镇	0.367078	0.017844	277
醴	0.366971	0.017837	83
旂	0.366827	0.017828	56
避	0.366732	0.017822	606
钺	0.366669	0.017818	80
澄	0.366041	0.017780	560
廓	0.364983	0.017715	123
倾	0.364887	0.017709	1009
的	0.364822	0.017705	149
词	0.364749	0.017701	738
拂	0.364302	0.017673	1397
鉴	0.363965	0.017653	230
会	0.362849	0.017584	1601
跨	0.361807	0.017520	94
陌	0.361499	0.017501	702
联	0.360707	0.017453	279
曳	0.360558	0.017443	203
挹	0.360540	0.017442	87
夭	0.360517	0.017441	156
舞	0.359770	0.017395	1762
济	0.359365	0.017370	449
拜	0.358619	0.017324	731
才	0.358325	0.017306	2080
护	0.358044	0.017289	275
踏	0.357918	0.017281	378
隐	0.357803	0.017274	1463
憩	0.356815	0.017214	90
袍	0.356700	0.017207	301
锡	0.356657	0.017204	310
展	0.356589	0.017200	439
比	0.356198	0.017176	800
进	0.356078	0.017169	401
电	0.355701	0.017145	236
觞	0.355667	0.017143	410
六	0.355313	0.017122	1171
旷	0.355094	0.017108	424
妍	0.354878	0.017095	213
蚁	0.354060	0.017045	164
斩	0.352497	0.016949	143
新	0.352454	0.016946	5118
类	0.352226	0.016932	258
味	0.351982	0.016917	407
等	0.351728	0.016902	272
状	0.351326	0.016877	210
施	0.351262	0.016873	333
阊	0.351236	0.016871	116
利	0.351130	0.016865	591
讼	0.350996	0.016857	81
谅	0.350714	0.016839	105
决	0.350284	0.016813	176
卿	0.350051	0.016799	536
汴	0.350040	0.016798	71
縠	0.349661	0.016775	53
酿	0.349610	0.016772	62
遐	0.349064	0.016738	194
屿	0.348335	0.016693	149
夔	0.347342	0.016632	66
扬	0.346901	0.016605	798
召	0.346563	0.016585	172
择	0.346405	0.016575	96
五	0.345870	0.016542	3050
盖	0.345162	0.016499	702
嵩	0.345042	0.016491	334
球	0.345039	0.016491	103
畿	0.344467	0.016456	82
陆	0.344306	0.016446	355
鹅	0.344295	0.016445	107
试	0.344098	0.016433	527
趋	0.343731	0.016411	499
淳	0.343458	0.016394	82
广	0.343207	0.016379	587
采	0.343122	0.016373	915
金	0.342912	0.016361	6225
筹	0.342783	0.016353	163
渊	0.342774	0.016352	94
勇	0.342598	0.016341	136
匪	0.342470	0.016333	149
杂	0.342138	0.016313	437
墀	0.341891	0.016298	238
肢	0.341739	0.016289	54
太	0.341628	0.016282	1641
箓	0.341380	0.016266	86
京	0.340821	0.016232	985
兴	0.340794	0.016231	1683
祝	0.340124	0.016189	190
泽	0.340097	0.016188	756
蕊	0.340038	0.016184	335
猷	0.339867	0.016174	102
央	0.339725	0.016165	197
爱	0.339472	0.016149	1850
佩	0.339116	0.016128	481
谒	0.338794	0.016108	338
义	0.338069	0.016063	530
蹋	0.337281	0.016015	159
化	0.337058	0.016001	1307
邑	0.337044	0.016000	475
兽	0.336486	0.015966	246
训	0.336346	0.015958	72
镂	0.336247	0.015951	82
氏	0.335604	0.015912	345
芝	0.335189	0.015887	388
录	0.335132	0.015883	63
雕	0.335000	0.015875	561
峨	0.334196	0.015826	292
欻	0.334175	0.015824	56
熏	0.333886	0.015807	158
领	0.333319	0.015772	308
闰	0.333228	0.015766	56
焰	0.333143	0.015761	232
汤	0.332691	0.015733	198
膝	0.332001	0.015691	129
蔼	0.331575	0.015665	117
映	0.330555	0.015602	1282
盐	0.330140	0.015577	123
束	0.330039	0.015571	374
务	0.329951	0.015565	170
爽	0.329710	0.015550	221
内	0.329152	0.015516	920
哉	0.328993	0.015506	522
骑	0.328517	0.015477	1314
摆	0.328479	0.015475	81
绮	0.328369	0.015468	726
周	0.328274	0.015462	829
塔	0.328028	0.015447	221
希	0.327947	0.015442	243
假	0.327748	0.015430	300
